customer_id,est_income,hold_bal,pref_cust_prob,imp_cscore,RiskScore,imp_crediteval,axio_score,demographic_slice_AX03efs,demographic_slice_BWEsk45,demographic_slice_CARDIF2,demographic_slice_DERS3w5,country_reg_E,country_reg_W,ad_exp_N,ad_exp_Y
596723,26323.092375276898,3.0,0.461364316215591,603,505.50906164909895,23.8066878011237,0.351221925580234,1,0,0,0,0,1,1,0
841834,67374.6216540271,17.8610946100002,0.47351673372163705,650,466.158075943051,26.068803366887803,0.0801063297604232,1,0,0,0,1,0,0,1
402401,1728.3697126780498,21.6044888368538,0.486220378423186,606,603.346279639912,23.6289551487329,0.20818049697006,1,0,0,0,1,0,1,0
734431,15814.2102605022,22.0584028768007,0.46224906087896794,530,747.1582207031619,22.5339570926947,0.0801218075308093,1,0,0,0,1,0,0,1
739547,45233.588193493,1.0,0.541660078234399,640,704.781193789665,24.298781705952102,0.667269733724187,1,0,0,0,0,1,0,1
203067,76883.6038312868,21.2974789220347,0.0631517256666864,619,708.8636073643961,24.014859450361598,0.783786884723794,1,0,0,0,1,0,0,1
133388,50946.9844189703,26.6532236781168,0.580729360348114,584,787.573182004325,24.8959834192148,0.41660880079619295,1,0,0,0,1,0,1,0
131709,21721.6491747821,7.0,0.18734372289762502,689,747.99526785209,25.6742554699133,0.9920817386616271,1,0,0,0,0,1,1,0
310152,93121.7800952625,2.0,0.805218843605757,505,661.402491787759,21.9234840705923,0.25403681671960504,1,0,0,0,0,1,1,0
552166,30086.0932573769,25.609626802014898,0.270330757002386,530,544.399542055049,22.3186054725249,0.251539220351797,1,0,0,0,1,0,0,1
362007,52663.4866930933,12.0,0.304313748713427,578,603.113778770628,23.0497589776122,0.0552616688716881,1,0,0,0,0,1,0,1
635393,32332.9695700875,11.0,0.222050835599268,618,723.438686366893,25.536005604587302,0.285372519763666,1,0,0,0,0,1,0,1
221473,56191.221404880096,20.0742432372481,0.137479876182715,693,633.875379968728,27.0524861675529,0.801284350356908,1,0,0,0,1,0,1,0
878414,31926.8094080604,22.6493738422236,0.261685062017965,596,689.9631739248371,24.6318816946522,0.938721427166319,1,0,0,0,1,0,1,0
290633,57922.488598755706,7.0,0.0954018362329859,697,651.096769889922,25.438072709921897,0.04634823963391299,1,0,0,0,0,1,1,0
756772,22662.863679228998,11.0,0.505677019376959,641,766.581626661447,25.0701322968968,0.425655683212794,1,0,0,0,0,1,0,1
955411,45318.94940702691,1.0,0.59429043771154,578,688.104825329467,24.4750520331353,0.0504449918654121,1,0,0,0,0,1,0,1
997239,22769.5631170531,7.0,0.22635282737349,609,611.596650344425,24.2837011474275,0.44197829232656205,1,0,0,0,0,1,1,0
43398,71804.8371413177,16.645414536389502,1.06021132160696,588,599.287567030367,23.3069429798101,0.16402496861396,1,0,0,0,1,0,0,1
264349,67290.3779860771,19.6767305259213,0.419295070682021,631,695.080980346198,24.7241267203182,0.0381175273663827,1,0,0,0,1,0,1,0
314391,26965.992337159103,0.0,0.149395634548514,574,765.982875630324,23.6400551319078,0.9713071188984871,1,0,0,0,0,1,0,1
714846,51653.694609628,20.9088398923335,0.411956123226045,618,896.927613910555,24.8352110895796,0.881618260807218,1,0,0,0,1,0,0,1
892667,31450.4153135485,8.0,0.459738433384793,547,556.556692876145,22.6234728404725,0.399239803823225,1,0,0,0,0,1,0,1
670648,85253.7529155321,20.8118714620115,0.557430718652465,590,524.630693485211,25.287507852544998,0.479901271783325,1,0,0,0,1,0,0,1
584068,36214.2043472417,1.0,0.43308705819511206,565,592.981733081852,23.331049780827303,0.969419294171595,1,0,0,0,0,1,0,1
107590,35270.710169382204,17.1935115546532,0.335603812445264,623,554.438811283969,24.0550817518123,0.285551673240829,1,0,0,0,1,0,1,0
815672,98699.2680703941,14.0,0.25222691956133303,645,822.442408995929,25.707271390067397,0.288762200242627,1,0,0,0,0,1,1,0
460630,34163.0547810505,9.0,0.9177568823900991,554,820.77296115221,23.648084846575397,0.6561419850365029,1,0,0,0,0,1,0,1
354231,58028.425019500195,2.0,0.242661417715103,502,734.6472957023931,23.2601006697359,0.499003687213432,1,0,0,0,0,1,0,1
721713,44648.4600214021,7.0,0.229058529915437,691,768.9177071053641,26.3231459649791,0.866138334910902,1,0,0,0,0,1,1,0
765885,7823.820276692701,4.0,0.117838416159117,602,711.291227693564,23.856246546915603,0.166712906936513,1,0,0,0,0,1,1,0
964281,36779.0250471955,10.9846713799297,0.142504840262265,609,819.587294660305,24.6436265939145,0.43174542346861294,1,0,0,0,1,0,1,0
730025,97200.94309927439,27.990033181350302,0.407361041126728,589,667.978793646485,24.493032416174604,0.964533605167609,1,0,0,0,1,0,1,0
625375,31797.631829526497,22.8283415232531,0.0683389104493661,593,687.065998391011,24.896006130558895,0.0306166484510226,1,0,0,0,1,0,0,1
121424,51034.764906181794,9.0,0.5772005276316129,564,691.923967935522,23.7290057898168,0.8759227859756971,1,0,0,0,0,1,1,0
71578,69197.5387571631,11.882779229091598,0.430532059226787,608,652.595505617866,23.661527407320598,0.44063068409693895,1,0,0,0,1,0,0,1
776481,24932.0291405482,30.1075384052169,0.258787454203599,669,642.399514134336,25.6365366552365,0.251406622854373,1,0,0,0,1,0,1,0
466286,83911.6346112339,23.5864597995602,0.837333191592938,694,776.615187015719,27.1742769788723,0.46242736097860204,1,0,0,0,1,0,1,0
342403,67584.4313252209,17.2311583209611,0.7183118410075121,584,767.568926614319,24.0369657094892,0.41217751343256503,1,0,0,0,1,0,0,1
461761,75313.4473479717,12.0,0.507850608921568,692,632.065990758394,27.166537680500003,0.0305951649770327,1,0,0,0,0,1,1,0
