,customer_id,est_income,hold_bal,pref_cust_prob,imp_cscore,RiskScore,imp_crediteval,axio_score,card_offer,demographic_slice_AX03efs,demographic_slice_BWEsk45,demographic_slice_CARDIF2,demographic_slice_DERS3w5,country_reg_E,country_reg_W,ad_exp_N,ad_exp_Y
0,713782,33407.9017494479,3.0,0.531112279582307,619,503.249027297784,23.9778269846522,0.137288792023524,0,1,0,0,0,0,1,1,0
1,515901,19927.5335325969,20.257926798639698,0.297438730118974,527,820.1081464055161,22.9863977296961,0.0522636193746206,0,1,0,0,0,1,0,1,0
2,95166,51222.4709966965,4.0,0.0184630751771727,606,586.6057945131221,24.9392188121553,0.45203457601049396,0,1,0,0,0,0,1,0,1
3,425557,67211.5874665701,18.653630788008897,0.0893436586108556,585,634.701982443681,24.841146571336303,0.5646189615492011,0,1,0,0,0,1,0,0,1
4,624581,20093.342157704,4.0,0.0949475339321058,567,631.94997899162,24.679362758996,0.917303683175727,0,1,0,0,0,0,1,1,0
5,721691,73896.0961289361,12.906640774428698,0.656847516528082,560,809.3339632415621,22.702966690857302,0.19851058777204997,1,1,0,0,0,1,0,1,0
6,269858,73609.4041346291,3.0,0.13781812943927998,620,697.3081632736571,24.271112152174897,0.17914070532901702,0,1,0,0,0,0,1,1,0
7,219196,57619.6685816555,9.0,0.36787938476655496,658,668.075471650386,25.886645735451,0.0353376314906104,0,1,0,0,0,0,1,1,0
8,413020,49282.6202985984,0.0,0.182079430575071,519,656.111590634192,21.838908996019896,0.0541303862479176,0,1,0,0,0,0,1,0,1
9,174424,57173.06139165269,6.0,0.288241891628413,645,547.767117158974,24.4671874200672,0.6483250955838139,0,1,0,0,0,0,1,1,0
10,664695,1216.41437571331,31.2984680191367,0.654588186787208,675,461.078568059054,25.968690285873198,0.0368551282287502,0,1,0,0,0,1,0,0,1
11,498530,60261.1779832187,9.0,0.194342087545695,519,792.416229550393,23.0037690028398,0.26568062672972104,0,1,0,0,0,0,1,1,0
12,722754,27898.7994225891,24.9054444836694,0.23091901018253896,502,634.635788952459,23.0660875821853,0.485769087968141,0,1,0,0,0,1,0,0,1
13,48861,72547.14235779691,2.0,1.02335090803499,602,615.330090162922,24.588479851463198,0.19554103945842002,1,1,0,0,0,0,1,0,1
14,317115,59967.2221979458,20.4209414846277,0.679141873199957,636,658.290617999047,24.3985231294286,0.166274172197568,1,1,0,0,0,1,0,0,1
15,791715,76087.3731796871,23.1170416526817,0.08785736208564099,616,779.5142051452859,25.7917065826464,0.35636878524487897,0,1,0,0,0,1,0,0,1
16,422599,37578.9243266724,0.0,0.136464763189788,674,698.184426010894,25.253071999962,0.0958625278533067,0,1,0,0,0,0,1,0,1
17,388632,51635.8841600754,14.8238917408219,0.300890986473149,610,721.803129219868,25.2143158345058,0.697234336887191,0,1,0,0,0,1,0,1,0
18,208452,52403.1723997787,21.2411716292529,0.48740167677626295,578,562.416660027293,23.890132779203,0.266036504933427,0,1,0,0,0,1,0,1,0
19,885697,59828.4948498075,12.512613690216401,0.227978281608546,571,790.733261581633,24.313271686658698,0.6039952936390219,0,1,0,0,0,1,0,1,0
20,77411,49041.7848567759,19.9687264258674,0.133177996507825,539,526.721687280442,24.1993444201294,0.589409957190748,0,1,0,0,0,1,0,1,0
21,561311,27192.590486948102,2.0,0.0972448198380402,639,765.3640374529081,24.8891119872555,0.222213987652502,0,1,0,0,0,0,1,1,0
22,248942,686.6711073310511,26.359367587919802,0.563717199862115,508,704.535958321587,21.538760585592605,0.377971932505659,0,1,0,0,0,1,0,1,0
23,377252,25136.7332234741,15.647588661900198,0.41584087279083,520,746.024918468501,22.4411921465539,0.0110824081895467,0,1,0,0,0,1,0,1,0
24,822873,25689.870566455298,23.824668741830802,0.16489714610035,539,649.783554136875,22.3093153815742,0.670423361874269,0,1,0,0,0,1,0,0,1
25,936503,18971.0798800403,12.439547335548902,0.864700099004875,541,710.6032494738429,22.520556947245,0.449148101608603,0,1,0,0,0,1,0,1,0
26,309814,23650.339784703,16.4252834552014,0.274740774530206,532,707.209275897447,22.1169343660013,0.11125182105584401,0,1,0,0,0,1,0,1,0
27,258560,21090.8118139427,25.761634070111104,0.5976401508360799,692,636.0703438930581,26.82469447823,0.0327645038554703,0,1,0,0,0,1,0,1,0
28,79638,52850.844603289406,3.0,0.509505134417792,510,584.441168768627,23.1419271567095,0.287734017560197,0,1,0,0,0,0,1,0,1
29,778438,68383.4300857963,17.248453288095902,0.524178742764593,524,478.225484604356,23.758966019361,0.121609557602051,0,1,0,0,0,1,0,1,0
30,328732,10481.238839384001,5.0,0.396054604936253,564,694.970316841563,23.3651312656091,0.9504784222544391,0,1,0,0,0,0,1,0,1
31,962546,43872.1519351596,23.0019401221479,0.129967737154397,522,724.016129808298,23.5741519348311,0.0070568817937089095,0,1,0,0,0,1,0,0,1
32,446969,55360.355297567,21.2730517009573,0.309850896626907,513,556.837473791723,21.9070958806145,0.7458461206889699,0,1,0,0,0,1,0,0,1
33,597495,36014.560512812204,17.8585967351532,0.0916023412692092,503,668.119855975869,22.6680858784476,0.0586607640006391,0,1,0,0,0,1,0,1,0
34,407939,72032.96630164201,27.774421855535603,0.741662512718433,661,819.877813102578,25.7114198673276,0.8049608144739642,1,1,0,0,0,1,0,0,1
35,957272,58188.2434440702,17.4888370919753,0.297434575439601,517,480.737872121457,23.413838968294897,0.609942090245478,0,1,0,0,0,1,0,0,1
36,182729,83992.3159201463,2.0,0.425544431112514,671,763.787930684099,25.3445826504427,0.6763961321813521,0,1,0,0,0,0,1,1,0
37,243800,60337.090633513304,9.0,0.245371428989705,541,643.213605140108,22.9349353176747,0.11401410372280499,0,1,0,0,0,0,1,1,0
38,966690,40794.2918378377,23.9272221138302,0.21027253432997603,543,660.989840720245,22.7117602352991,0.9829096015775451,0,1,0,0,0,1,0,0,1
39,536841,12249.1821091504,23.382161263923802,0.40106481531508403,515,791.3020354098421,23.046839379321497,0.174591142594843,0,1,0,0,0,1,0,1,0
40,642805,53307.524761515,2.0,0.16208621407265802,513,705.3047689465669,21.653755023587397,0.176683918269184,0,1,0,0,0,0,1,1,0
41,134186,7286.295796500121,22.661225751578197,0.303973094976412,628,582.859416478678,25.768487748769196,0.7777361631450028,0,1,0,0,0,1,0,0,1
42,69635,49302.2894956707,5.0,0.7225312487698391,562,579.973162843221,24.615359234821803,0.9552033587680251,0,1,0,0,0,0,1,0,1
43,12604,3400.78281844182,23.133857605503202,0.440712656158492,665,775.559876722055,26.5393235287497,0.40272831457743197,0,1,0,0,0,1,0,0,1
